Mes,TIENDA,Segmento,Rango_edad,MABs
2025-12-01,Caballito,GOLD,65 - 69,7
2025-12-01,Caballito,GOLD,70 y más,17
2025-12-01,Caballito,GOLD,Sin clasificación,2
2025-12-01,Caballito,NA,Sin clasificación,1
2025-12-01,Caballito,PLATINUM,25 - 29,3
2025-12-01,Caballito,PLATINUM,30 - 34,19
2025-12-01,Caballito,PLATINUM,35 - 39,34
2025-12-01,Caballito,PLATINUM,40 - 44,33
2025-12-01,Caballito,PLATINUM,45 - 49,39
2025-12-01,Caballito,PLATINUM,50 - 54,24
2025-12-01,Caballito,PLATINUM,55 - 59,24
2025-12-01,Caballito,PLATINUM,60 - 64,20
2025-12-01,Caballito,PLATINUM,65 - 69,10
2025-12-01,Caballito,PLATINUM,70 y más,4
2025-12-01,Caballito,SELLER,18 - 24,3
2025-12-01,Caballito,SELLER,25 - 29,2
2025-12-01,Caballito,SELLER,30 - 34,3
2025-12-01,Caballito,SELLER,35 - 39,5
2025-12-01,Caballito,SELLER,40 - 44,10
2025-12-01,Caballito,SELLER,45 - 49,2
2025-12-01,Caballito,SELLER,50 - 54,7
2025-12-01,Caballito,SELLER,55 - 59,2
2025-12-01,Caballito,SELLER,60 - 64,6
2025-12-01,Caballito,SELLER,65 - 69,1
2025-12-01,Caballito,SELLER,Sin clasificación,9
2025-12-01,Caballito,SILVER,25 - 29,10
2025-12-01,Caballito,SILVER,30 - 34,7
2025-12-01,Caballito,SILVER,35 - 39,11
2025-12-01,Caballito,SILVER,40 - 44,8
2025-12-01,Caballito,SILVER,45 - 49,5
2025-12-01,Caballito,SILVER,50 - 54,10
2025-12-01,Caballito,SILVER,55 - 59,7
2025-12-01,Caballito,SILVER,60 - 64,7
2025-12-01,Caballito,SILVER,65 - 69,4
2025-12-01,Caballito,SILVER,70 y más,18
2025-12-01,Caballito,SILVER,Sin clasificación,4
2025-12-01,Scalabrini,BRONZE,18 - 24,14
2025-12-01,Scalabrini,BRONZE,25 - 29,14
2025-12-01,Scalabrini,BRONZE,30 - 34,11
2025-12-01,Scalabrini,BRONZE,35 - 39,8
2025-12-01,Scalabrini,BRONZE,40 - 44,6
2025-12-01,Scalabrini,BRONZE,45 - 49,8
2025-12-01,Scalabrini,BRONZE,50 - 54,12
2025-12-01,Scalabrini,BRONZE,55 - 59,7
2025-12-01,Scalabrini,BRONZE,60 - 64,6
2025-12-01,Scalabrini,BRONZE,65 - 69,3
2025-12-01,Scalabrini,BRONZE,70 y más,4
2025-12-01,Scalabrini,BRONZE,Sin clasificación,3
2025-12-01,Scalabrini,GOLD,18 - 24,4
2025-12-01,Scalabrini,GOLD,25 - 29,14
2025-12-01,Scalabrini,GOLD,30 - 34,31
2025-12-01,Scalabrini,GOLD,35 - 39,27
2025-12-01,Scalabrini,GOLD,40 - 44,20
2025-12-01,Scalabrini,GOLD,45 - 49,20
2025-12-01,Scalabrini,GOLD,50 - 54,18
2025-12-01,Scalabrini,GOLD,55 - 59,13
2025-12-01,Scalabrini,GOLD,60 - 64,11
2025-12-01,Scalabrini,GOLD,65 - 69,7
2025-12-01,Scalabrini,GOLD,70 y más,24
2025-12-01,Scalabrini,GOLD,Sin clasificación,4
2025-12-01,Scalabrini,MENOR_EDAD,13 - 17,1
2025-12-01,Scalabrini,PLATINUM,18 - 24,1
2025-12-01,Scalabrini,PLATINUM,25 - 29,13
2025-12-01,Scalabrini,PLATINUM,30 - 34,15
