,,,,886.551.363,217.974,712.407.345,175.157,585.757.150,144.018,759.901.168,186.835,2.944.617.026,723.984,,,,,,,,,,,,,,,,,,,,,,637.289.168,156.657,10.443,642.104.085,157.848,10.526,417.226.276,102.530,6.838,519.000.534,127.528,8.501,2.215.620.052,544.554,36.305
Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Vilo NMV,Vilo NSI,VUrq NMV,VUrq NSI,Caballito NMV,Caballito NSI,Total NMV,Total NSI,,,Mes,,,,,,,,Mes,Fecha,Scala NMV,Vilo NMV,VUrq NMV,Caballito NMV,,Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Scala Purchases,Vilo NMV,Vilo NSI,Vilo Purchases,VUrq NMV,VUrq NSI,VUrq Purchases,Caballito NMV,Caballito NSI,Caballito Purchases,Total NMV,Total NSI,Total Purchases
martes,7,28-jul,31,7.535.427,1.820,6.055.254,1.463,4.978.764,1.203,6.458.938,1.560,25.028.383,6.046,,,,,,,,,,,7,28-jul,4%,4%,4%,4%,,martes,7,28-jul,31,5.447.389,1.316,88,5.487.214,1.325,88,3.595.633,869,58,4.494.884,1.086,72,19.025.120,4.596,306
miércoles,7,29-jul,31,7.111.993,1.718,5.714.994,1.380,4.698.995,1.135,6.095.994,1.472,23.621.976,5.706,,,,,,,,,,,7,29-jul,4%,4%,4%,4%,,miércoles,7,29-jul,31,5.141.287,1.242,83,5.178.874,1.251,83,3.393.585,820,55,4.242.306,1.025,68,17.956.052,4.337,289
jueves,7,30-jul,31,5.527.220,1.335,4.441.516,1.073,3.651.913,882,4.737.617,1.144,18.358.267,4.434,,,,,,,,,,,7,30-jul,3%,3%,3%,3%,,jueves,7,30-jul,31,3.995.649,965,64,4.024.860,972,65,2.637.389,637,42,3.296.988,796,53,13.954.886,3.371,225
viernes,7,31-jul,31,7.404.267,1.789,5.949.857,1.437,4.892.105,1.182,6.346.514,1.533,24.592.743,5.940,,,,,,,,,,,7,31-jul,4%,4%,4%,4%,,viernes,7,31-jul,31,5.352.573,1.293,86,5.391.705,1.302,87,3.533.047,853,57,4.416.647,1.067,71,18.693.972,4.516,301
sábado,8,1-ago,31,5.534.424,1.321,4.447.305,1.062,3.656.673,873,4.743.792,1.132,18.382.193,4.388,,,,,,,,,,,8,1-ago,3%,3%,3%,3%,,sábado,8,1-ago,31,3.779.219,902,60,3.806.848,909,61,2.494.531,595,40,3.118.402,744,50,13.199.000,3.150,210
domingo,8,2-ago,32,4.449.887,1.062,3.575.802,853,2.940.104,702,3.814.189,910,14.779.982,3.528,,,,,,,,,,,8,2-ago,2%,2%,2%,2%,,domingo,8,2-ago,32,3.038.636,725,48,3.060.850,731,49,2.005.698,479,32,2.507.314,598,40,10.612.498,2.533,169
lunes,8,3-ago,32,7.887.540,1.883,6.338.202,1.513,5.211.410,1.244,6.760.748,1.614,26.197.900,6.253,,,,,,,,,,,8,3-ago,4%,4%,4%,4%,,lunes,8,3-ago,32,5.386.060,1.286,86,5.425.437,1.295,86,3.555.151,849,57,4.444.279,1.061,71,18.810.926,4.490,299
martes,8,4-ago,32,7.854.675,1.875,6.311.792,1.507,5.189.696,1.239,6.732.579,1.607,26.088.742,6.227,,,,,,,,,,,8,4-ago,4%,4%,4%,4%,,martes,8,4-ago,32,5.363.618,1.280,85,5.402.831,1.290,86,3.540.338,845,56,4.425.761,1.056,70,18.732.547,4.471,298
miércoles,8,5-ago,32,7.413.301,1.769,5.957.117,1.422,4.898.074,1.169,6.354.258,1.517,24.622.751,5.877,,,,,,,,,,,8,5-ago,3%,3%,3%,3%,,miércoles,8,5-ago,32,5.062.223,1.208,81,5.099.232,1.217,81,3.341.398,798,53,4.177.066,997,66,17.679.919,4.220,281
jueves,8,6-ago,32,5.761.388,1.375,4.629.687,1.105,3.806.631,909,4.938.332,1.179,19.136.038,4.567,,,,,,,,,,,8,6-ago,3%,3%,3%,3%,,jueves,8,6-ago,32,3.934.203,939,63,3.962.965,946,63,2.596.831,620,41,3.246.286,775,52,13.740.284,3.280,219
viernes,8,7-ago,32,7.717.958,1.842,6.201.930,1.480,5.099.365,1.217,6.615.392,1.579,25.634.645,6.119,,,,,,,,,,,8,7-ago,4%,4%,4%,4%,,viernes,8,7-ago,32,5.270.260,1.258,84,5.308.790,1.267,84,3.478.715,830,55,4.348.727,1.038,69,18.406.491,4.393,293
sábado,8,8-ago,32,5.700.456,1.361,4.580.724,1.093,3.766.373,899,4.886.106,1.166,18.933.659,4.519,,,,,,,,,,,8,8-ago,3%,3%,3%,3%,,sábado,8,8-ago,32,3.892.595,929,62,3.921.053,936,62,2.569.367,613,41,3.211.954,767,51,13.594.970,3.245,216
domingo,8,9-ago,33,4.583.384,1.094,3.683.076,879,3.028.307,723,3.928.615,938,15.223.381,3.634,,,,,,,,,,,8,9-ago,2%,2%,2%,2%,,domingo,8,9-ago,33,3.129.795,747,50,3.152.676,752,50,2.065.869,493,33,2.582.533,616,41,10.930.872,2.609,174
lunes,8,10-ago,33,8.124.166,1.939,6.528.348,1.558,5.367.753,1.281,6.963.571,1.662,26.983.837,6.441,,,,,,,,,,,8,10-ago,4%,4%,4%,4%,,lunes,8,10-ago,33,5.547.642,1.324,88,5.588.200,1.334,89,3.661.806,874,58,4.577.607,1.093,73,19.375.254,4.625,308
martes,8,11-ago,33,8.090.315,1.931,6.501.146,1.552,5.345.387,1.276,6.934.556,1.655,26.871.404,6.414,,,,,,,,,,,8,11-ago,4%,4%,4%,4%,,martes,8,11-ago,33,5.524.527,1.319,88,5.564.915,1.328,89,3.646.548,870,58,4.558.534,1.088,73,19.294.524,4.605,307
miércoles,8,12-ago,33,7.635.700,1.823,6.135.831,1.465,5.045.016,1.204,6.544.886,1.562,25.361.434,6.053,,,,,,,,,,,8,12-ago,4%,4%,4%,4%,,miércoles,8,12-ago,33,5.214.090,1.245,83,5.252.209,1.254,84,3.441.640,821,55,4.302.378,1.027,68,18.210.317,4.347,290
jueves,8,13-ago,33,5.934.229,1.416,4.768.577,1.138,3.920.830,936,5.086.482,1.214,19.710.119,4.704,,,,,,,,,,,8,13-ago,3%,3%,3%,3%,,jueves,8,13-ago,33,4.052.229,967,64,4.081.854,974,65,2.674.735,638,43,3.343.675,798,53,14.152.493,3.378,225
viernes,8,14-ago,33,7.949.496,1.897,6.387.988,1.525,5.252.346,1.254,6.813.854,1.626,26.403.684,6.302,,,,,,,,,,,8,14-ago,4%,4%,4%,4%,,viernes,8,14-ago,33,5.428.368,1.296,86,5.468.053,1.305,87,3.583.077,855,57,4.479.188,1.069,71,18.958.686,4.525,302
sábado,8,15-ago,33,5.871.470,1.401,4.718.146,1.126,3.879.364,926,5.032.689,1.201,19.501.669,4.655,,,,,,,,,,,8,15-ago,3%,3%,3%,3%,,sábado,8,15-ago,33,4.009.373,957,64,4.038.685,964,64,2.646.448,632,42,3.308.313,790,53,14.002.819,3.342,223
domingo,8,16-ago,34,4.720.885,1.127,3.793.568,905,3.119.156,744,4.046.473,966,15.680.083,3.743,,,,,,,,,,,8,16-ago,2%,2%,2%,2%,,domingo,8,16-ago,34,3.223.688,769,51,3.247.256,775,52,2.127.845,508,34,2.660.009,635,42,11.258.799,2.687,179
lunes,8,17-ago,34,7.045.764,1.682,5.661.775,1.351,4.655.237,1.111,6.039.226,1.441,23.402.002,5.586,,,,,,,,,,,8,17-ago,3%,3%,3%,3%,,lunes,8,17-ago,34,4.811.248,1.148,77,4.846.422,1.157,77,3.175.738,758,51,3.969.975,948,63,16.803.383,4.011,267
martes,8,18-ago,34,8.333.025,1.989,6.696.181,1.598,5.505.748,1.314,7.142.593,1.705,27.677.546,6.606,,,,,,,,,,,8,18-ago,4%,4%,4%,4%,,martes,8,18-ago,34,5.690.262,1.358,91,5.731.863,1.368,91,3.755.945,896,60,4.695.290,1.121,75,19.873.360,4.743,316
miércoles,8,19-ago,34,7.864.772,1.877,6.319.906,1.508,5.196.367,1.240,6.741.233,1.609,26.122.277,6.235,,,,,,,,,,,8,19-ago,4%,4%,4%,4%,,miércoles,8,19-ago,34,5.370.513,1.282,85,5.409.775,1.291,86,3.544.889,846,56,4.431.450,1.058,71,18.756.626,4.477,298
jueves,8,20-ago,34,6.112.256,1.459,4.911.634,1.172,4.038.455,964,5.239.077,1.250,20.301.422,4.846,,,,,,,,,,,8,20-ago,3%,3%,3%,3%,,jueves,8,20-ago,34,4.173.796,996,66,4.204.309,1.004,67,2.754.977,658,44,3.443.985,822,55,14.577.068,3.479,232
viernes,8,21-ago,34,8.187.981,1.954,6.579.628,1.570,5.409.916,1.291,7.018.270,1.675,27.195.795,6.491,,,,,,,,,,,8,21-ago,4%,4%,4%,4%,,viernes,8,21-ago,34,5.591.219,1.335,89,5.632.095,1.344,90,3.690.569,881,59,4.613.564,1.101,73,19.527.447,4.661,311
sábado,8,22-ago,34,6.047.614,1.443,4.859.690,1.160,3.995.745,954,5.183.669,1.237,20.086.719,4.794,,,,,,,,,,,8,22-ago,3%,3%,3%,3%,,sábado,8,22-ago,34,4.129.654,986,66,4.159.846,993,66,2.725.841,651,43,3.407.562,813,54,14.422.904,3.443,230
domingo,8,23-ago,35,4.862.512,1.161,3.907.375,933,3.212.731,767,4.167.867,995,16.150.485,3.855,,,,,,,,,,,8,23-ago,2%,2%,2%,2%,,domingo,8,23-ago,35,3.320.399,793,53,3.344.674,798,53,2.191.680,523,35,2.739.810,654,44,11.596.563,2.768,185
lunes,8,24-ago,35,8.618.928,2.057,6.925.924,1.653,5.694.649,1.359,7.387.652,1.763,28.627.153,6.833,,,,,,,,,,,8,24-ago,4%,4%,4%,4%,,lunes,8,24-ago,35,5.885.493,1.405,94,5.928.521,1.415,94,3.884.810,927,62,4.856.383,1.159,77,20.555.207,4.906,327
martes,8,25-ago,35,8.583.015,2.049,6.897.066,1.646,5.670.921,1.354,7.356.870,1.756,28.507.873,6.804,,,,,,,,,,,8,25-ago,4%,4%,4%,4%,,martes,8,25-ago,35,5.860.970,1.399,93,5.903.819,1.409,94,3.868.623,923,62,4.836.148,1.154,77,20.469.560,4.886,326
miércoles,8,26-ago,35,8.100.715,1.934,6.509.503,1.554,5.352.258,1.278,6.943.470,1.657,26.905.945,6.422,,,,,,,,,,,8,26-ago,4%,4%,4%,4%,,miércoles,8,26-ago,35,5.531.628,1.320,88,5.572.069,1.330,89,3.651.235,871,58,4.564.393,1.089,73,19.319.325,4.611,307
jueves,8,27-ago,35,6.295.624,1.503,5.058.983,1.208,4.159.609,993,5.396.249,1.288,20.910.465,4.991,,,,,,,,,,,8,27-ago,3%,3%,3%,3%,,jueves,8,27-ago,35,4.299.009,1.026,68,4.330.439,1.034,69,2.837.627,677,45,3.547.305,847,56,15.014.380,3.584,239
viernes,8,28-ago,35,8.433.621,2.013,6.777.017,1.618,5.572.214,1.330,7.228.818,1.725,28.011.669,6.686,,,,,,,,,,,8,28-ago,4%,4%,4%,4%,,viernes,8,28-ago,35,5.758.955,1.375,92,5.801.058,1.385,92,3.801.286,907,60,4.751.971,1.134,76,20.113.270,4.801,320
sábado,8,29-ago,35,6.229.043,1.487,5.005.481,1.195,4.115.617,982,5.339.179,1.274,20.689.320,4.938,,,,,,,,,,,8,29-ago,3%,3%,3%,3%,,sábado,8,29-ago,35,4.253.544,1.015,68,4.284.641,1.023,68,2.807.617,670,45,3.509.789,838,56,14.855.591,3.546,236
domingo,8,30-ago,36,5.008.387,1.195,4.024.597,961,3.309.113,790,4.292.903,1.025,16.635.000,3.971,,,,,,,,,,,8,30-ago,2%,2%,2%,2%,,domingo,8,30-ago,36,3.420.011,816,54,3.445.014,822,55,2.257.430,539,36,2.822.004,674,45,11.944.460,2.851,190
lunes,8,31-ago,36,8.877.496,2.119,7.133.702,1.703,5.865.488,1.400,7.609.282,1.816,29.485.967,7.038,,,,,,,,,,,8,31-ago,4%,4%,4%,4%,,lunes,8,31-ago,36,6.062.058,1.447,96,6.106.377,1.457,97,4.001.354,955,64,5.002.075,1.194,80,21.171.863,5.053,337
